一樣米養百樣人	yi1 yang4 mi3 yang3 bai3 yang4 ren2
一樹百穫	yi1 shu4 bo2 huo4
一機靈	yi1 ji1 ling5
一檔子	yi1 dang3 zi5
一檔子	yi1 dang4 zi5
一次全倒	yi1 ci4 quan2 dao3
一次方程式	yi1 ci4 fang1 cheng2 shi4
一次能源	yi1 ci4 neng2 yuan2
一歇	yi1 xie1
一步	yi1 bu4
一步一個腳印兒	yi2 bu4 yi1 ge5 jiao3 yer4
一步一回頭	yi1 bu4 yi1 hui2 tou2
一步一攧	yi1 bu4 yi1 dian1
一步一趨	yi1 bu4 yi1 qu1
一步一踱	yi1 bu4 yi1 duo4
一步一鬼	yi1 bu4 yi1 gui3
一步棋	yi1 bu4 qi2
一步步	yi1 bu4 bu4
一步登天	yi1 bu4 deng1 tian1
一步錯	yi1 bu4 cuo4
一歲三遷	yi1 sui4 san1 qian1
一歲九遷	yi1 sui4 jiu3 qian1
一死一生	yi1 si3 yi1 sheng1
一死兒	yi2 ser3
一段	yi1 duan4
一毛	yi1 mao2
一毛不拔	yi1 mao2 bu4 ba2
一毛錢	yi1 mao2 qian2
一氣	yi1 qi4
一氣之下	yi1 qi4 zhi1 xia4
一氣兒	yi2 qier4
一氣呵成	yi1 qi4 he1 cheng2
一氧化物	yi1 yang3 hua4 wu4
一氧化碳	yi1 yang3 hua4 tan4
一氧化碳中毒	yi1 yang3 hua4 tan4 zhong4 du2
一水兒	yi2 shuer3
一江山	yi1 jiang1 shan1
一汪	yi1 wang1
一決勝負	yi1 jue2 sheng4 fu4
一決雌雄	yi1 jue2 ci1 xiong2
一決高下	yi1 jue2 gao1 xia4
一沐三捉髮	yi1 mu4 san1 zhuo1 fa3
一沐三握髮	yi1 mu4 san1 wo4 fa3
一沖性子	yi1 chong4 xing4 zi5
一泓	yi1 hong2
一泡	yi1 pao4
一泡子	yi1 pao4 zi5
一波	yi1 bo1
一波三折	yi1 bo1 san1 zhe2
一波又起	yi1 bo1 you4 qi3
一波未平	yi1 bo1 wei4 ping2
一派	yi1 pai4
一派胡言	yi1 pai4 hu2 yan2
一流	yi1 liu2
一浪淌	yi1 lang4 tang3
