䰖兒	zuar3
新出手兒	xin1 chu1 shour3
新媳婦兒	xin1 xi2 fur4
方兒	fangr1
旁岔兒	pang2 char4
旋兒	xvar2
旦兒	dar4
早起的鳥兒有蟲吃	zao3 qi3 de5 niaor3 you3 chong2 chi1
早點兒	zao3 diar3
旮旮旯旯兒	ga1 ga5 la2 lar2
旮旯兒	ga1 lar2
明兒	mingr2
星兒	xingr1
春凳折了靠背兒	chun1 deng4 zhe2 le5 kao4 ber4
春條兒	chun1 tiaor2
春秋兒	chun1 qiur1
春菜絲兒	chun1 cai4 ser1
昨兒	zuor2
是味兒	shi4 wer4
是樣兒	shi4 yangr4
晏公老兒下西洋	yan4 gong1 laor3 xia4 xi1 yang2
晒暖兒	shai4 nuar3
晚半天兒	wan3 ban4 tiar1
暈高兒	yun1 gaor1
暗花兒	an4 huar1
暗間兒	an4 jiar1
書館兒	shu1 guar3
替頭兒	ti4 tour5
會兒	huer3
月亮門兒	yue4 liang5 mer2
月頭兒	yue4 tour2
有一手兒	you3 yi1 shour5
有人緣兒	you3 ren2 yuar2
有信兒	you3 xier4
有個數兒	you3 ge5 shur4
有個說兒	you3 ge5 shuor1
有分兒	you3 fer4
有味兒	you3 wer4
有好兒	you3 haor3
有心眼兒	you3 xin1 yar3
有數兒	you3 shur4
有時有晌兒	you3 shi2 you3 shangr3
有根兒有派兒	you3 ger1 you3 par4
有準兒	you3 zhuer3
有滋有味兒	you3 zi1 you3 wer4
有盼兒	you3 par4
有碴兒	you3 char2
有聽頭兒	you3 ting1 tour5
有落兒	you3 laor4
有譜兒	you3 pur3
有門兒	you3 mer2
有面兒	you3 miar4
有頭兒	you3 tour2
有點兒	you3 diar3
有點影兒	you3 dian3 yingr3
服裝模特兒	fu2 zhuang1 mo2 ter4
朗巴兒	lang3 bar1
木杓火杖兒短	mu4 shao2 huo3 zhangr4 duan3 qiang2
木胎兒	mu4 tar1
木頭眼鏡兒	mu4 tou5 yan3 jingr4
末兒	mor4
札板兒	zha2 bar3
杆圈兒	gan1 quar1
杈桿兒	cha1 gar3
